timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1541755700.0651197,number7,number7,8.612524509429932,True,5.170815467834473,0.5229716300964355,2.704189794141257,191.70687866210938
1541755706.2480266,number7,number7,6.169942140579224,True,5.190402030944824,0.6158357858657837,3.1964353136862655,207.63198852539062
1541755712.803059,number7,number7,6.536129951477051,True,5.180608749389648,0.5962854623794556,3.0891216835368596,224.66015625
1541755718.0504289,number7,wipers,5.235406875610352,False,5.190402030944824,0.6304985284805298,3.272540842733065,238.03802490234375
1541755722.1056685,turnclap,turnclap,4.045301914215088,True,5.170815467834473,0.48875856399536133,2.5272803427437793,248.4658660888672
1541755727.0075026,mermaid,mermaid,4.886873006820679,True,5.170815467834473,0.5229716300964355,2.704189794141257,261.1411437988281
1541755732.1648867,salute,salute,5.14845085144043,True,5.190402030944824,0.6158357858657837,3.1964353136862655,274.2154846191406
1541755737.6127458,mermaid,mermaid,5.431864261627197,True,5.190402030944824,0.6207233667373657,3.221803823368532,288.2779541015625
1541755742.0037339,mermaid,mermaid,4.3830177783966064,True,5.190402030944824,0.6011730432510376,3.120329784639466,299.4500427246094
1541755746.1491766,chicken,chicken,4.137458086013794,True,5.190402030944824,0.6207233667373657,3.221803823368532,309.9100646972656
1541755750.5209289,mermaid,mermaid,4.360833644866943,True,5.180608749389648,0.5962854623794556,3.0891216835368596,320.9908142089844
1541755755.7300622,cowboy,cowboy,5.196168422698975,True,5.190402030944824,0.6256109476089478,3.2471723330507984,334.1300048828125
1541755759.2910566,cowboy,cowboy,3.5500435829162598,True,5.190402030944824,0.6158357858657837,3.1964353136862655,343.21124267578125
1541755764.19094,number7,wipers,4.889909029006958,False,5.170815467834473,0.48875856399536133,2.5272803427437793,355.6265869140625
1541755769.138909,numbersix,numbersix,4.933021545410156,True,5.190402030944824,0.6060606241226196,3.1456982943217326,368.0772705078125
1541755772.7058654,numbersix,numbersix,3.557971954345703,True,5.190402030944824,0.6256109476089478,3.2471723330507984,377.27813720703125
1541755778.6110451,mermaid,swing,5.895184755325317,False,5.190402030944824,0.6402736902236938,3.323277862097598,391.8719177246094
1541755783.3040287,salute,salute,4.673996210098267,True,5.170815467834473,0.49364614486694336,2.5525531215148476,404.5174255371094
1541755788.9471428,swing,swing,5.628161191940308,True,5.190402030944824,0.6158357858657837,3.1964353136862655,418.85491943359375
1541755793.607025,cowboy,turnclap,4.643977403640747,False,5.190402030944824,0.5962854623794556,3.0949612749571997,430.7188415527344
1541755798.589041,swing,swing,4.973040580749512,True,5.200194835662842,0.694037139415741,3.609128348147948,443.26947021484375
1541755802.214835,wipers,wipers,3.61179780960083,True,5.190402030944824,0.5962854623794556,3.0949612749571997,452.50201416015625
1541755805.2759464,wipers,chicken,3.0531651973724365,False,5.170815467834473,0.4838709533214569,2.5020074098704015,460.1963195800781
1541755809.4377995,cowboy,turnclap,4.13592791557312,False,5.170815467834473,0.48875856399536133,2.5272803427437793,470.68341064453125
1541755814.0550518,numbersix,numbersix,4.606293439865112,True,5.200194835662842,0.7233626842498779,3.761626894947426,482.5399169921875
1541755818.9364867,number7,number7,4.86545467376709,True,5.170815467834473,0.4789833724498749,2.4767346310993332,494.7910461425781
1541755822.7910252,cowboy,turnclap,3.8455233573913574,False,5.170815467834473,0.49364614486694336,2.5525531215148476,504.4697265625
1541755827.7017612,salute,salute,4.8997650146484375,True,5.190402030944824,0.6011730432510376,3.120329784639466,517.1779174804688
1541755832.5521488,chicken,chicken,4.840416669845581,True,5.170815467834473,0.4985337257385254,2.577825900285916,529.4292602539062
1541755836.1579726,chicken,chicken,3.5968847274780273,True,5.170815467834473,0.49364614486694336,2.5525531215148476,538.5081176757812
1541755842.685642,numbersix,numbersix,6.518687725067139,True,5.170815467834473,0.49364614486694336,2.5525531215148476,554.475341796875
1541755847.5418217,cowboy,cowboy,4.8456501960754395,True,5.190402030944824,0.6060606241226196,3.1456982943217326,566.8916015625
1541755852.6728575,swing,swing,5.119318723678589,True,5.190402030944824,0.6353861093521118,3.2979093524153313,579.8108520507812
1541755856.73871,number7,sidestep,4.044414043426514,False,5.190402030944824,0.6207233667373657,3.221803823368532,590.2406616210938
1541755860.6020827,number7,sidestep,3.848414182662964,False,5.170815467834473,0.48875856399536133,2.5272803427437793,599.9179077148438
1541755864.6836977,cowboy,cowboy,4.072617769241333,True,5.190402030944824,0.6158357858657837,3.1964353136862655,610.2127685546875
1541755869.0628488,number7,sidestep,4.3682146072387695,False,5.180608749389648,0.6109482049942017,3.1650836162168616,621.3169555664062
1541755872.9287004,number7,sidestep,3.856874465942383,False,5.170815467834473,0.48875856399536133,2.5272803427437793,631.1453857421875
1541755877.333483,wipers,wipers,4.395838737487793,True,5.190402030944824,0.6011730432510376,3.120329784639466,642.31640625
1541755881.6953626,salute,salute,4.3539018630981445,True,5.190402030944824,0.6158357858657837,3.1964353136862655,653.4788208007812
1541758090.2498555,cowboy,cowboy,9.722792625427246,True,5.180608749389648,0.5816226601600647,3.0131594420685133,1337.314208984375
1541758092.7988822,turnclap,turnclap,2.5240659713745117,True,5.190402030944824,0.6109482049942017,3.171066804003999,1343.6632080078125
1541758097.765611,cowboy,cowboy,4.962738752365112,True,5.190402030944824,0.6402736902236938,3.323277862097598,1356.2708740234375
1541758100.5730767,turnclap,turnclap,2.8025012016296387,True,5.180608749389648,0.6011730432510376,3.114442327763527,1362.2177734375
1541758106.0178847,chicken,numbersix,5.439841270446777,False,5.180608749389648,0.5816226601600647,3.0131594420685133,1377.27685546875
