timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1542181606.0587847,turnclap,turnclap,2.8229997158050537,True,5.190402030944824,0.6011730432510376,3.120329784639466,161.12933349609375
1542181609.9058728,number7,number7,3.831498861312866,True,5.190402030944824,0.6304985284805298,3.272540842733065,171.01104736328125
1542181613.0205157,wipers,wipers,3.0990514755249023,True,5.170815467834473,0.4985337257385254,2.577825900285916,178.83860778808594
1542181617.9555514,mermaid,mermaid,4.935035705566406,True,5.180608749389648,0.5229716300964355,2.709311402560161,191.73899841308594
1542181622.1125174,numbersix,numbersix,4.141338586807251,True,5.170815467834473,0.5083088874816895,2.6283714578280524,202.400146484375
1542181627.3309245,mermaid,mermaid,5.218407154083252,True,5.190402030944824,0.5816226601600647,3.018855436538331,215.98196411132812
1542181631.6888702,salute,salute,4.357945680618286,True,5.190402030944824,0.6207233667373657,3.221803823368532,227.3208770751953
1542181635.0502095,wipers,wipers,3.3457179069519043,True,5.190402030944824,0.6304985284805298,3.272540842733065,235.93653869628906
1542181637.3836758,wipers,wipers,2.317842483520508,True,5.190402030944824,0.6304985284805298,3.272540842733065,241.76849365234375
1542181641.747245,swing,swing,4.363569259643555,True,5.190402030944824,0.6256109476089478,3.2471723330507984,253.13571166992188
1542181645.3440628,cowboy,cowboy,3.581359624862671,True,5.161021709442139,0.4789833724498749,2.472043583675614,261.84771728515625
1542181647.935552,turnclap,turnclap,2.59148907661438,True,5.180608749389648,0.5962854623794556,3.0891216835368596,268.7445373535156
1542181651.3065386,chicken,chicken,3.3554019927978516,True,5.190402030944824,0.6207233667373657,3.221803823368532,277.3996887207031
1542181654.9062562,swing,swing,3.593210220336914,True,5.190402030944824,0.6304985284805298,3.272540842733065,286.641357421875
1542181659.0640368,numbersix,numbersix,4.142158269882202,True,5.170815467834473,0.5083088874816895,2.6283714578280524,297.2749938964844
1542181663.4534147,sidestep,sidestep,4.373760938644409,True,5.190402030944824,0.6011730432510376,3.120329784639466,308.6580505371094
1542181667.5727408,cowboy,cowboy,4.110853672027588,True,5.190402030944824,0.6207233667373657,3.221803823368532,319.27276611328125
1542181671.6627648,numbersix,numbersix,4.079972267150879,True,5.190402030944824,0.6060606241226196,3.1456982943217326,329.8876953125
1542181676.583449,mermaid,mermaid,4.910625219345093,True,5.170815467834473,0.4985337257385254,2.577825900285916,342.45556640625
1542181680.2133822,cowboy,cowboy,3.3825817108154297,True,5.190402030944824,0.6060606241226196,3.1456982943217326,351.66851806640625
1542181684.33891,sidestep,sidestep,4.125527858734131,True,5.190402030944824,0.6060606241226196,3.1456982943217326,362.3174743652344
1542181688.4763865,number7,number7,4.137476444244385,True,5.190402030944824,0.6842619776725769,3.551594758610065,372.9443054199219
1542181691.8048131,wipers,wipers,3.2659342288970947,True,5.190402030944824,0.6158357858657837,3.1964353136862655,381.5552978515625
1542181694.357253,chicken,chicken,2.5524399280548096,True,5.190402030944824,0.6158357858657837,3.1964353136862655,388.092041015625
1542181697.7345798,cowboy,cowboy,3.3617045879364014,True,5.190402030944824,0.6256109476089478,3.2471723330507984,396.6051940917969
1542181702.0811589,sidestep,sidestep,4.346579074859619,True,5.190402030944824,0.6353861093521118,3.2979093524153313,407.90045166015625
1542181706.739419,number7,number7,4.642705678939819,True,5.170815467834473,0.4985337257385254,2.577825900285916,419.86163330078125
1542181711.134286,salute,salute,4.379240989685059,True,5.190402030944824,0.5865102410316467,3.0442239462205976,431.2205810546875
1542181714.7583618,salute,salute,3.6240758895874023,True,5.190402030944824,0.6207233667373657,3.221803823368532,440.3936462402344
1542181717.3336017,turnclap,turnclap,2.5596187114715576,True,5.190402030944824,0.6304985284805298,3.272540842733065,446.8083190917969
1542181720.7576647,chicken,chicken,3.4084737300872803,True,5.190402030944824,0.5962854623794556,3.0949612749571997,455.59674072265625
1542181725.9707596,mermaid,mermaid,5.197472810745239,True,5.190402030944824,0.5913978219032288,3.069592455902864,469.21014404296875
1542181728.8284135,swing,swing,2.857653856277466,True,5.170815467834473,0.4985337257385254,2.577825900285916,476.408935546875
1542181732.976416,numbersix,numbersix,4.141494989395142,True,5.190402030944824,0.5913978219032288,3.069592455902864,486.91796875
1542181737.171513,salute,salute,4.179476261138916,True,5.180608749389648,0.5913978219032288,3.063800730521848,497.8814697265625
1542181740.3262637,swing,swing,3.1547505855560303,True,5.190402030944824,0.5962854623794556,3.0949612749571997,506.0731506347656
1542181744.8224487,sidestep,sidestep,4.480564594268799,True,5.170815467834473,0.5083088874816895,2.6283714578280524,517.6771240234375
1542181750.5548253,turnclap,turnclap,5.732376575469971,True,5.170815467834473,0.4789833724498749,2.4767346310993332,532.5191650390625
1542181754.730636,numbersix,chicken,4.160186052322388,False,5.190402030944824,0.6109482049942017,3.171066804003999,543.3753051757812
1542181759.697333,salute,number7,4.951076030731201,False,5.180608749389648,0.5620723366737366,2.911876865161844,556.2984008789062
